seed	programs_unique	unsound	missed_repair	over_predicted	open	conservative	vendor_lenient	harness	rule_sets	outcome_pairs	classes_both_sides	barrier_programs	barrier_roundings	barrier_not_agree
1	653	0	0	0	0	2	61	16	49	7	17	71	42	1
2	865	0	0	0	0	3	79	29	54	7	17	71	42	1
3	1077	0	0	0	0	5	100	35	54	7	17	71	42	1
4	1289	0	0	0	0	6	121	41	54	7	17	71	42	1
5	1500	0	0	0	0	7	143	47	54	7	17	71	42	1
6	1712	0	0	0	0	8	170	56	54	7	17	71	42	1
7	1924	0	0	0	0	9	189	62	54	7	17	71	42	1
8	2134	0	0	0	0	9	203	74	54	7	17	71	42	1
9	2345	0	0	0	0	9	223	79	54	7	17	71	42	1
10	2556	0	0	0	0	9	245	86	54	7	17	71	42	1
