seed	programs_unique	unsound	missed_repair	over_predicted	open	conservative	vendor_lenient	harness	rule_sets	outcome_pairs	classes_both_sides	barrier_programs	barrier_roundings	barrier_not_agree
1	126	0	0	0	0	0	15	5	28	5	15	14	14	0
2	166	0	0	0	0	0	19	10	31	5	15	14	14	0
3	206	0	0	0	0	0	24	13	32	5	15	14	14	0
4	246	0	0	0	0	0	30	15	35	5	15	14	14	0
5	286	0	0	0	0	0	36	18	36	5	15	14	14	0
6	326	0	0	0	0	0	44	20	37	5	15	14	14	0
7	366	0	0	0	0	0	49	21	37	5	15	14	14	0
8	406	0	0	0	0	0	52	23	38	5	15	14	14	0
9	446	0	0	0	0	0	58	23	38	5	15	14	14	0
10	486	0	0	0	0	0	62	27	38	5	15	14	14	0
